optype,opset,inputs,outputs,attr1,attr1,attr1,attr2,attr2,attr2,attr3,attr3,attr3,attr4,attr4,attr4,attr5,attr5,attr5,attr6,attr6,attr6,attr7,attr7,attr7,attr8,attr8,attr8,attr9,attr9,attr9,attr10,attr10,attr10
op_type,opset,inputs,outputs,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default,name,value_type,default
LSTM,14,8,3,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,forward,hidden_size,int64,,input_forget,int64,0,layout,int64,0,,,,,,
LSTM,7,8,3,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,forward,hidden_size,int64,,input_forget,int64,0,,,,,,,,,
LSTM,1,8,3,activation_alpha,float32[],,activation_beta,float32[],,activations,str[],,clip,float32,,direction,str,forward,hidden_size,int64,,input_forget,int64,0,output_sequence,int64,0,,,,,,
LeakyRelu,16,1,1,alpha,float32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeakyRelu,6,1,1,alpha,float32,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeakyRelu,1,1,1,alpha,float32,0.01,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,
Less,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Less,1,2,1,axis,int64,,broadcast,int64,0,,,,,,,,,,,,,,,,,,,,,,,,
Log,13,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log,1,1,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loop,16,inf,inf,body,graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loop,13,inf,inf,body,graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loop,11,inf,inf,body,graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loop,1,inf,inf,body,graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LpNormalization,1,1,1,axis,int64,-1,p,int64,2,,,,,,,,,,,,,,,,,,,,,,,,
LpPool,11,1,1,auto_pad,str,NOTSET,kernel_shape,int64[],,p,float32,2,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,
LpPool,2,1,1,auto_pad,str,NOTSET,kernel_shape,int64[],,p,float32,2,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,
LpPool,1,1,1,auto_pad,str,NOTSET,kernel_shape,int64[],,p,float32,2,pads,int64[],,strides,int64[],,,,,,,,,,,,,,,,
MatMul,13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatMul,9,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatMul,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatMulInteger,10,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,13,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,12,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,8,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,6,inf,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,1,inf,1,consumed_inputs,int64[],,,,,,,,,,,,,,,,,,,,,,,,,,,,
